OK  production/LNG1_arched_back.png  (1935302 bytes, aspect 1:1, ref product.png)
OK  production/LNG2_side_profile_gasp.png  (2164160 bytes, aspect 1:1, ref product.png)
OK  production/LNG3_sheets_macro.png  (2134331 bytes, aspect 1:1, ref product.png)
OK  production/LNG4_morning_relaxed.png  (1752371 bytes, aspect 1:1, ref product.png)
OK  production/LNG5_couple_embrace.png  (1974973 bytes, aspect 1:1, ref product.png)
OK  production/LNG6_hands_sheets.png  (2125041 bytes, aspect 1:1, ref product.png)
OK  production/LEG1_crossed_legs_bed.png  (1915126 bytes, aspect 1:1, ref product.png)
OK  production/LEG2_bathtub_edge.png  (1876664 bytes, aspect 1:1, ref product.png)
OK  production/LEG3_nightstand_reach.png  (1976745 bytes, aspect 1:1, ref product.png)
OK  production/LEG4_thigh_closeup.png  (2042871 bytes, aspect 1:1, ref product.png)
OK  production/PRD1_pink_checklist.png  (1184869 bytes, aspect 1:1, ref product.png)
OK  production/PRD2_bundle_pricing.png  (1147426 bytes, aspect 1:1, ref product.png)
OK  production/PRD3_ingredients_flatlay.png  (1818287 bytes, aspect 1:1, ref product.png)
OK  production/PRD4_hand_holding_bottle.png  (1527263 bytes, aspect 1:1, ref product.png)
OK  production/DR1_gynecologue.png  (2110180 bytes, aspect 1:1, ref product.png)
OK  production/DR2_hormones_comparison.png  (1105387 bytes, aspect 1:1, ref product.png)
BATCH DONE
