OK  production_v2/LNG1_arched_back.png  (2106989 bytes, aspect 1:1, ref product_v2.png)
OK  production_v2/LNG2_side_profile_gasp.png  (2213104 bytes, aspect 1:1, ref product_v2.png)
OK  production_v2/LNG3_sheets_macro.png  (2201678 bytes, aspect 1:1, ref product_v2.png)
OK  production_v2/LNG4_morning_relaxed.png  (1953191 bytes, aspect 1:1, ref product_v2.png)
OK  production_v2/LNG5_couple_embrace.png  (2245104 bytes, aspect 1:1, ref product_v2.png)
OK  production_v2/LNG6_hands_sheets.png  (1947122 bytes, aspect 1:1, ref product_v2.png)
OK  production_v2/LEG1_crossed_legs_bed.png  (2076306 bytes, aspect 1:1, ref product_v2.png)
OK  production_v2/LEG2_bathtub_edge.png  (2029848 bytes, aspect 1:1, ref product_v2.png)
OK  production_v2/LEG3_nightstand_reach.png  (1891778 bytes, aspect 1:1, ref product_v2.png)
OK  production_v2/LEG4_thigh_closeup.png  (2168310 bytes, aspect 1:1, ref product_v2.png)
OK  production_v2/PRD1_pink_checklist.png  (1450336 bytes, aspect 1:1, ref product_v2.png)
OK  production_v2/PRD2_bundle_pricing.png  (1361657 bytes, aspect 1:1, ref product_v2.png)
OK  production_v2/PRD3_ingredients_flatlay.png  (1836630 bytes, aspect 1:1, ref product_v2.png)
OK  production_v2/PRD4_hand_holding_bottle.png  (1595544 bytes, aspect 1:1, ref product_v2.png)
OK  production_v2/DR1_gynecologue.png  (2228476 bytes, aspect 1:1, ref product_v2.png)
OK  production_v2/DR2_hormones_comparison.png  (1221709 bytes, aspect 1:1, ref product_v2.png)
BATCH DONE
